Hora del evento,Mensaje,Grupo de registros,Secuencia de registro
2026-03-15T19:53:14.659Z,"10.0.4.151 - - [15/Mar/2026:19:53:14 +0000] ""GET / HTTP/1.1"" 200 459 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"" ""204.76.203.206""",011337674220:/ecs/cococash-wfe,wfe/wfe/20973f81ed264592b429b2332dd43237
2026-03-15T19:53:16.530Z,"10.0.4.151 - - [15/Mar/2026:19:53:16 +0000] ""GET / HTTP/1.1"" 200 459 ""-"" ""ELB-HealthChecker/2.0"" ""-""",011337674220:/ecs/cococash-wfe,wfe/wfe/20973f81ed264592b429b2332dd43237
2026-03-15T19:53:13.821Z,"10.0.1.20 - - [15/Mar/2026:19:53:13 +0000] ""GET / HTTP/1.1"" 200 459 ""-"" ""ELB-HealthChecker/2.0"" ""-""",011337674220:/ecs/cococash-wfe,wfe/wfe/c88d236c7466456d9645d055b1a3262e
2026-03-15T19:53:16.530Z,"10.0.4.151 - - [15/Mar/2026:19:53:16 +0000] ""GET / HTTP/1.1"" 200 459 ""-"" ""ELB-HealthChecker/2.0"" ""-""",011337674220:/ecs/cococash-wfe,wfe/wfe/c88d236c7466456d9645d055b1a3262e
2026-03-15T19:53:19.657Z,"10.0.1.20 - - [15/Mar/2026:19:53:19 +0000] ""GET / HTTP/1.1"" 200 459 ""-"" ""ELB-HealthChecker/2.0"" ""-""",011337674220:/ecs/cococash-wfe,wfe/wfe/20973f81ed264592b429b2332dd43237
2026-03-15T19:53:19.899Z,"10.0.4.151 - - [15/Mar/2026:19:53:19 +0000] ""GET / HTTP/1.1"" 200 459 ""-"" ""Mozilla/5.0 (X11; U; Linux i686; en-gb) AppleWebKit/534.35 (KHTML, like Gecko) Chrome/11.0.696.65 Safari/534.35 Puffin/2.0.5603M"" ""93.174.93.12""",011337674220:/ecs/cococash-wfe,wfe/wfe/c88d236c7466456d9645d055b1a3262e
2026-03-15T19:53:46.559Z,"10.0.4.151 - - [15/Mar/2026:19:53:46 +0000] ""GET / HTTP/1.1"" 200 459 ""-"" ""ELB-HealthChecker/2.0"" ""-""",011337674220:/ecs/cococash-wfe,wfe/wfe/20973f81ed264592b429b2332dd43237
2026-03-15T19:53:43.836Z,"10.0.1.20 - - [15/Mar/2026:19:53:43 +0000] ""GET / HTTP/1.1"" 200 459 ""-"" ""ELB-HealthChecker/2.0"" ""-""",011337674220:/ecs/cococash-wfe,wfe/wfe/c88d236c7466456d9645d055b1a3262e
2026-03-15T19:53:46.559Z,"10.0.4.151 - - [15/Mar/2026:19:53:46 +0000] ""GET / HTTP/1.1"" 200 459 ""-"" ""ELB-HealthChecker/2.0"" ""-""",011337674220:/ecs/cococash-wfe,wfe/wfe/c88d236c7466456d9645d055b1a3262e
2026-03-15T19:53:49.664Z,"10.0.1.20 - - [15/Mar/2026:19:53:49 +0000] ""GET / HTTP/1.1"" 200 459 ""-"" ""ELB-HealthChecker/2.0"" ""-""",011337674220:/ecs/cococash-wfe,wfe/wfe/20973f81ed264592b429b2332dd43237
2026-03-15T19:54:16.588Z,"10.0.4.151 - - [15/Mar/2026:19:54:16 +0000] ""GET / HTTP/1.1"" 200 459 ""-"" ""ELB-HealthChecker/2.0"" ""-""",011337674220:/ecs/cococash-wfe,wfe/wfe/20973f81ed264592b429b2332dd43237
2026-03-15T19:54:13.860Z,"10.0.1.20 - - [15/Mar/2026:19:54:13 +0000] ""GET / HTTP/1.1"" 200 459 ""-"" ""ELB-HealthChecker/2.0"" ""-""",011337674220:/ecs/cococash-wfe,wfe/wfe/c88d236c7466456d9645d055b1a3262e
2026-03-15T19:54:16.588Z,"10.0.4.151 - - [15/Mar/2026:19:54:16 +0000] ""GET / HTTP/1.1"" 200 459 ""-"" ""ELB-HealthChecker/2.0"" ""-""",011337674220:/ecs/cococash-wfe,wfe/wfe/c88d236c7466456d9645d055b1a3262e
2026-03-15T19:54:19.665Z,"10.0.1.20 - - [15/Mar/2026:19:54:19 +0000] ""GET / HTTP/1.1"" 200 459 ""-"" ""ELB-HealthChecker/2.0"" ""-""",011337674220:/ecs/cococash-wfe,wfe/wfe/20973f81ed264592b429b2332dd43237
2026-03-15T19:54:17.666Z,2026/03/15 19:54:17 Processing report batch: 3 accounts for period 2026-03,011337674220:/ecs/cococash-transaction,transaction/transaction-ms/429b0449b543441c8b399439fbb31f40
2026-03-15T19:54:17.690Z,2026/03/15 19:54:17 Found 0 transactions for user=00000000-0000-0000-0000-000000000001 period=2026-03,011337674220:/ecs/cococash-transaction,transaction/transaction-ms/429b0449b543441c8b399439fbb31f40
2026-03-15T19:54:17.742Z,2026/03/15 19:54:17 Published consolidated report for user=00000000-0000-0000-0000-000000000001 period=2026-03 (0 txns),011337674220:/ecs/cococash-transaction,transaction/transaction-ms/429b0449b543441c8b399439fbb31f40
2026-03-15T19:54:17.745Z,2026/03/15 19:54:17 Found 3 transactions for user=b4086408-f091-70c7-1cae-fbf6dea2c607 period=2026-03,011337674220:/ecs/cococash-transaction,transaction/transaction-ms/429b0449b543441c8b399439fbb31f40
2026-03-15T19:54:17.763Z,2026/03/15 19:54:17 Published consolidated report for user=b4086408-f091-70c7-1cae-fbf6dea2c607 period=2026-03 (3 txns),011337674220:/ecs/cococash-transaction,transaction/transaction-ms/429b0449b543441c8b399439fbb31f40
2026-03-15T19:54:17.766Z,2026/03/15 19:54:17 Found 3 transactions for user=94180498-80b1-70c6-aa12-1b5de6f27bbb period=2026-03,011337674220:/ecs/cococash-transaction,transaction/transaction-ms/429b0449b543441c8b399439fbb31f40
2026-03-15T19:54:17.777Z,2026/03/15 19:54:17 Published consolidated report for user=94180498-80b1-70c6-aa12-1b5de6f27bbb period=2026-03 (3 txns),011337674220:/ecs/cococash-transaction,transaction/transaction-ms/429b0449b543441c8b399439fbb31f40
